scene_token,selected_index,full_oracle_index,no_ddc_oracle_index,selected_DDC,oracle_DDC,no_ddc_oracle_DDC,oracle_ranking_reversal,score_loss_caused_by_omitting_DDC
a2427ec82b7e530d,22,241,142,0.5,1.0,0.5,True,0.38643425703048706
24203499007050ee,1,73,73,1.0,1.0,1.0,False,0.0
96198b6e9db0567b,197,1,251,0.5,1.0,0.5,True,0.42816129326820374
c6235a9a05d05d4c,116,166,166,1.0,1.0,1.0,False,0.0
979955df3e6a5131,41,41,41,1.0,1.0,1.0,False,0.0
91ae4404692c5166,1,113,113,1.0,1.0,1.0,False,0.0
0c79d5f4a49b595d,76,1,112,0.5,1.0,0.5,True,0.19445481896400452
9b00fd18deb8579f,98,72,72,0.5,1.0,1.0,False,0.0
fff54430109e5305,240,176,176,1.0,1.0,1.0,False,0.0
34aba21d96705566,175,211,211,0.5,1.0,1.0,False,0.0
a9308cce41df5067,22,242,242,0.5,1.0,1.0,False,0.0
9d9c8dd5186752d8,210,1,19,0.5,1.0,0.5,True,0.41335129737854004
759d491519db59cb,230,190,190,0.5,1.0,1.0,False,0.0
e3e71391914b5fae,173,35,35,1.0,1.0,1.0,False,0.0
d17f73f9c9035c25,40,20,20,1.0,1.0,1.0,False,0.0
cc548021d7fe530b,52,174,174,1.0,1.0,1.0,False,0.0
ad1362d10257509a,88,198,198,0.5,1.0,1.0,False,0.0
3478868e7fb151f0,46,72,72,0.5,0.5,0.5,False,0.0
5c198e61e2315a86,234,83,83,0.5,0.5,0.5,False,0.0
159d25d7826d5fc6,107,32,32,1.0,1.0,1.0,False,0.0
5f6c5d275fdf5d1d,29,127,127,1.0,1.0,1.0,False,0.0
2e6da2a8c5035f9e,160,3,83,0.5,1.0,0.5,True,0.2961888015270233
50f7ee81590d54f6,87,3,3,0.5,1.0,1.0,False,0.0
9f0563249bb25571,8,200,200,0.5,1.0,1.0,False,0.0
db9b0b1ea1bd5e0c,152,241,9,0.5,1.0,0.5,True,0.34504765272140503
66282414358758cb,104,79,79,0.5,0.5,0.5,False,0.0
5de7ba347cd55625,111,139,139,0.5,1.0,1.0,False,0.0
ab1372a689a95f5d,188,68,68,0.5,1.0,1.0,False,0.0
991205fbffb45377,166,190,190,0.5,1.0,1.0,False,0.0
134c4724d5d4554f,165,0,0,0.5,1.0,1.0,False,0.0
e7d60afdb345569f,177,84,84,0.5,1.0,1.0,False,0.0
e959fc4a3b1850a1,17,112,112,1.0,1.0,1.0,False,0.0
0ecfe15430645c39,188,196,196,0.5,1.0,1.0,False,0.0
98c9258656b35bce,22,1,142,0.5,1.0,0.5,True,0.4479992389678955
b50e792b678557fb,159,200,200,0.5,1.0,1.0,False,0.0
0b2ca477901751f8,11,41,41,0.5,1.0,1.0,False,0.0
169eaa9c3b8b5255,84,1,84,0.5,1.0,0.5,True,0.3149898052215576
92de464b53b951fa,215,118,118,1.0,1.0,1.0,False,0.0
7c9552b68a955b75,52,41,41,0.5,1.0,1.0,False,0.0
22847113f7d25b4d,49,193,193,0.5,1.0,1.0,False,0.0
1c7215afa4e557c0,135,1,146,0.5,1.0,0.5,True,0.3727569580078125
09c40477d9365a63,9,1,146,0.5,1.0,0.5,True,0.4374920129776001
8a8e5a5932c55cfd,130,141,141,0.0,0.5,0.5,False,0.0
3fc98b0475fe566d,164,41,41,0.5,1.0,1.0,False,0.0
52b7a99b30f45c33,211,211,211,1.0,1.0,1.0,False,0.0
5fcc941d16ac5711,5,137,137,0.5,0.5,0.5,False,0.0
c9f0f9335bfe5e5f,220,239,239,0.5,1.0,1.0,False,0.0
165e9078bfaa517b,49,163,163,0.5,1.0,1.0,False,0.0
ed9faccd5d6d5787,240,37,37,1.0,1.0,1.0,False,0.0
fe7f48961a9c541a,204,241,180,0.5,1.0,0.5,True,0.2386106550693512
a28ed4c1baa15f7f,145,91,91,1.0,1.0,1.0,False,0.0
ad73dffc7d245cca,62,250,250,0.5,1.0,1.0,False,0.0
2a2403c9b08b53ac,142,142,142,0.5,0.5,0.5,False,0.0
b428ddf9aacc554d,117,1,140,0.5,1.0,0.5,True,0.4059901833534241
9a852084f178576b,232,242,175,0.0,1.0,0.5,True,0.46734052896499634
46996c06146455ba,247,70,70,1.0,1.0,1.0,False,0.0
16953c5df45d53d0,172,127,127,1.0,1.0,1.0,False,0.0
650adaba4b5f5bd1,86,182,182,0.5,0.5,0.5,False,0.0
d11e45d665db58dc,129,158,158,1.0,1.0,1.0,False,0.0
eb5138aebadd59b9,115,158,158,1.0,1.0,1.0,False,0.0
f259451b59fe5ccb,89,4,4,0.5,1.0,1.0,False,0.0
9ad50c235f3b558b,249,138,138,1.0,1.0,1.0,False,0.0
3533b2210cfb5826,198,158,158,1.0,1.0,1.0,False,0.0
f06d778ed11c531e,111,116,116,1.0,1.0,1.0,False,0.0
3a4cad8cdc5254f4,20,193,193,0.5,1.0,1.0,False,0.0
de8115f15a0258dc,23,73,73,1.0,1.0,1.0,False,0.0
9e67b6f34f7a56c6,181,243,243,1.0,1.0,1.0,False,0.0
771ee18b296655a7,150,208,208,0.5,1.0,1.0,False,0.0
b44e552bb4e05ffa,18,193,193,0.5,1.0,1.0,False,0.0
f43fc1460f385937,141,1,96,0.5,1.0,0.5,True,0.4520823359489441
60d20012a2005c4f,191,94,94,0.5,1.0,1.0,False,0.0
1af3172cf7d058c6,72,142,142,0.5,0.5,0.5,False,0.0
e9b172e3af515b7f,70,226,226,1.0,1.0,1.0,False,0.0
7d442791cf345880,55,2,2,0.5,1.0,1.0,False,0.0
21cff006a9565439,151,243,243,0.5,1.0,1.0,False,0.0
430349bcb1a25d96,116,75,75,1.0,1.0,1.0,False,0.0
5abad095979e5f65,153,128,128,0.5,1.0,1.0,False,0.0
89db2ae2e1e45b8d,191,129,129,0.5,1.0,1.0,False,0.0
f23ebef8f5605a9d,129,57,57,1.0,1.0,1.0,False,0.0
1fda201356475674,59,70,70,1.0,1.0,1.0,False,0.0
fdb911f7ddac5466,181,242,242,0.5,1.0,1.0,False,0.0
02a1be482e5e5a39,1,218,218,1.0,1.0,1.0,False,0.0
a19a65c5bf0c5965,195,0,0,1.0,1.0,1.0,False,0.0
df33009742fd5aa2,127,203,203,0.5,1.0,1.0,False,0.0
24c08f867914565b,62,32,32,0.5,1.0,1.0,False,0.0
998fd116a5365b76,84,84,84,0.5,0.5,0.5,False,0.0
298d8cefd1715916,31,194,194,1.0,1.0,1.0,False,0.0
b5319157e1065b06,123,1,1,0.5,1.0,1.0,False,0.0
9dedf462b1c0528f,128,0,0,0.5,1.0,1.0,False,0.0
18ef35c24b2c5c8e,125,174,174,1.0,1.0,1.0,False,0.0
e411175e07665392,113,226,226,1.0,1.0,1.0,False,0.0
8af670cb9c5c55c1,241,241,241,1.0,1.0,1.0,False,0.0
e45d4e1245835372,2,32,32,1.0,1.0,1.0,False,0.0
a39639adc33b5cb4,252,141,141,0.5,0.5,0.5,False,0.0
41ccc41aa6d95648,203,241,37,0.5,1.0,0.5,True,0.3537822365760803
71769d75a0cd5e6c,102,127,127,0.5,1.0,1.0,False,0.0
393f663e1fa05ed9,25,25,25,0.5,0.5,0.5,False,0.0
b0a901f8ac6c5102,45,37,37,0.5,0.5,0.5,False,0.0
ac60efafd59d5030,76,1,141,0.5,1.0,0.5,True,0.4339337944984436
011bf18390365320,81,3,3,1.0,1.0,1.0,False,0.0
1f9bf387b3665b8b,28,167,167,0.5,0.5,0.5,False,0.0
ffbed38f63fe5687,146,1,146,0.5,1.0,0.5,True,0.4251188039779663
7368daf9b917558c,117,169,169,0.5,1.0,1.0,False,0.0
5e1686b780be58fb,219,4,4,0.5,1.0,1.0,False,0.0
96afe9fa40265392,106,241,19,0.5,1.0,0.5,True,0.348601758480072
92ff8189fbcd57cc,54,1,99,0.5,1.0,0.5,True,0.4914475679397583
3ecf2b9afa505c51,228,195,195,1.0,1.0,1.0,False,0.0
ce1800c04ada5319,199,210,210,0.5,0.5,0.5,False,0.0
c98a40676c385a1b,196,53,53,0.5,1.0,1.0,False,0.0
2138334754ce51bd,112,211,211,0.5,1.0,1.0,False,0.0
453a22ec3b3c5b45,53,201,201,1.0,1.0,1.0,False,0.0
17dc75453e875096,244,16,16,1.0,1.0,1.0,False,0.0
cb31499c94365ab2,162,73,73,0.5,1.0,1.0,False,0.0
816835a3404455ed,106,241,37,0.5,1.0,0.5,True,0.38688695430755615
63455f1ef124593d,81,3,3,0.5,1.0,1.0,False,0.0
a97370099c2a5788,49,1,1,0.5,1.0,1.0,False,0.0
4024cfec37015bc9,123,1,1,0.5,1.0,1.0,False,0.0
b1253c92df8c569e,41,0,0,0.5,1.0,1.0,False,0.0
e3df5cbe38765879,18,42,42,0.5,1.0,1.0,False,0.0
3a86facf3ce45abd,104,3,3,0.5,1.0,1.0,False,0.0
e51b1e738bee531a,46,3,72,0.5,1.0,0.5,True,0.2853049039840698
e51107ef55c55041,49,199,199,0.5,1.0,1.0,False,0.0
947dd343ad1c5fa1,76,207,207,0.5,1.0,1.0,False,0.0
4aee71274a115ea7,250,250,250,1.0,1.0,1.0,False,0.0
b5dc316258cc50fa,148,82,82,0.5,1.0,1.0,False,0.0
2441972d09265b96,52,194,194,1.0,1.0,1.0,False,0.0
506f938d7bf65360,230,36,46,0.5,1.0,0.5,True,0.11238491535186768
bcd120caf43e5db4,191,175,175,1.0,1.0,1.0,False,0.0
3e5d686ddaba5b0b,212,198,198,0.5,1.0,1.0,False,0.0
51e2541a8fcb55a6,226,250,250,0.5,1.0,1.0,False,0.0
5925162aacd05953,103,206,206,0.5,1.0,1.0,False,0.0
84e1ac13f33052d5,188,111,111,1.0,1.0,1.0,False,0.0
a207b6ca15ea57c9,76,109,109,1.0,1.0,1.0,False,0.0
3173916338cc5b61,198,182,182,0.5,0.5,0.5,False,0.0
73640d9a58175e58,18,57,57,1.0,1.0,1.0,False,0.0
2ff11b20bbed5152,29,204,104,0.5,1.0,0.5,True,0.1935429871082306
f83faebac60954f3,239,109,109,0.5,1.0,1.0,False,0.0
a04b244fbc6d5ccd,89,2,2,0.5,1.0,1.0,False,0.0
32383097eb815432,33,91,91,0.5,1.0,1.0,False,0.0
e073efca74a15fe9,87,59,59,0.5,1.0,1.0,False,0.0
6cff8cc4c3a8520e,145,200,200,0.5,1.0,1.0,False,0.0
9d43ccae54b758c8,237,2,2,0.5,1.0,1.0,False,0.0
eedd181f7da95382,19,206,206,0.5,1.0,1.0,False,0.0
e65699e635e759f4,173,35,35,1.0,1.0,1.0,False,0.0
ee7fa63de7325a94,218,228,228,1.0,1.0,1.0,False,0.0
a1dcb6aa12425ff5,153,41,41,1.0,1.0,1.0,False,0.0
830271bffcaf5813,1,198,198,1.0,1.0,1.0,False,0.0
c0ff7850e1035c6d,130,99,99,0.0,0.5,0.5,False,0.0
65d1bfda94a65f69,229,175,175,1.0,1.0,1.0,False,0.0
fe9c3d85a86a5858,222,248,248,0.5,1.0,1.0,False,0.0
d29047dbbfd1579c,102,201,201,0.5,1.0,1.0,False,0.0
8919b19c00f853cf,56,53,80,0.5,1.0,0.5,True,0.43413814902305603
cf560641242357ec,63,1,1,1.0,1.0,1.0,False,0.0
eb4694939f605cc4,150,1,211,0.5,1.0,0.5,True,0.36711859703063965
fc67412be3615e37,191,205,205,0.5,1.0,1.0,False,0.0
290cae625b0b5642,126,81,81,0.5,0.5,0.5,False,0.0
3ab1a87a109f5482,52,109,109,0.5,1.0,1.0,False,0.0
c2df446a1fbe5486,217,226,226,0.5,1.0,1.0,False,0.0
bd41611f25155d0b,152,3,251,0.0,1.0,0.5,True,0.3032658100128174
1370be1aa2aa5443,161,210,210,0.5,0.5,0.5,False,0.0
514ff0d300945035,212,217,217,1.0,1.0,1.0,False,0.0
1247f01b468a59c5,126,190,190,0.0,0.5,0.5,False,0.0
ccd610d9764856ad,143,193,193,0.5,1.0,1.0,False,0.0
2b15579fad0f5654,105,177,177,0.5,1.0,1.0,False,0.0
869d5c18896e5fd9,223,2,2,0.5,1.0,1.0,False,0.0
fdadd3b57d60524f,172,3,3,0.5,1.0,1.0,False,0.0
cc189488899551dc,233,2,2,0.0,1.0,1.0,False,0.0
c59a462e40ed5e75,138,163,163,0.5,1.0,1.0,False,0.0
34be881e1ef95821,250,243,243,1.0,1.0,1.0,False,0.0
d414225e45b256e8,210,3,19,0.5,1.0,0.5,True,0.3235342502593994
9029978b99715595,138,0,0,0.5,1.0,1.0,False,0.0
2572e13693e554c8,41,174,174,1.0,1.0,1.0,False,0.0
5a571994989e55b7,197,83,83,0.5,1.0,1.0,False,0.0
9f9d065b098c5d5d,15,1,22,0.5,1.0,0.5,True,0.32655730843544006
d4af771eb71759a3,240,243,243,1.0,1.0,1.0,False,0.0
