scene_token,model_type,seed,intervention,selected_index,wote_selected_index,selected_score,oracle_score,wote_selected_score,regret,candidate_rank,oracle_capture,hard_false_safe,direction_non_compliance,ddc_half,ddc_zero,zero_score_selection,wote_failure_recovery,selected_NC,selected_DAC,selected_DDC,selected_EP,selected_TTC,selected_Comfort,interaction_rich
3e16f0052daa5fea,direct_current,1,none,1,138,0.0,1.0,0.39797655,1.0,57,-0.6610648036003113,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,True
7950b5d3a544508c,interaction_mask_only,0,none,3,102,0.0,1.0,0.33015424,1.0,9,-0.49288100004196167,True,False,False,False,True,False,0.0,1.0,1.0,0.0,0.0,1.0,True
22689723912350b4,interaction_mask_only,0,none,225,91,0.0,1.0,0.0,1.0,75,0.0,True,True,True,False,True,False,1.0,0.0,0.5,0.0,1.0,1.0,False
eb4d6a0aa63a5582,static_primitive_effect,2,none,185,70,0.0,1.0,0.40305054,1.0,62,-0.6751837134361267,True,True,False,True,True,False,1.0,1.0,0.0,0.0,1.0,1.0,False
d2fcb86294345ce0,static_primitive_effect,0,none,228,131,0.0,1.0,0.8541068,1.0,134,-5.854328155517578,True,False,False,False,True,False,0.0,1.0,1.0,0.0,0.0,1.0,True
164e52db9ee955a5,static_primitive_effect,2,none,165,21,0.0,1.0,0.9566063,1.0,113,-22.04483413696289,True,True,True,False,True,False,0.0,1.0,0.5,0.0,0.0,1.0,True
58c854b81fa053c1,static_primitive_effect,2,none,20,115,0.0,1.0,0.3706406,1.0,110,-0.5889172554016113,True,True,True,False,True,False,1.0,0.0,0.5,0.0,0.0,1.0,True
063354d761015481,static_primitive_effect,2,none,228,10,0.0,1.0,0.35054958,1.0,122,-0.5397633910179138,True,True,True,False,True,False,1.0,0.0,0.5,0.0,0.0,1.0,True
a64988f11b195863,static_primitive_effect,0,none,1,247,0.0,1.0,0.8728968,1.0,65,-6.867621898651123,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,True
789fbb604f4f50dd,static_primitive_effect,0,none,1,198,0.0,1.0,0.9750894,1.0,69,-39.14350509643555,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,True
1824a4154b9f5eff,static_primitive_effect,2,none,233,111,0.0,1.0,0.88858896,1.0,20,-7.975771427154541,True,False,False,False,True,False,0.0,1.0,1.0,0.0,0.0,1.0,True
42a7a6a9a7595754,trajectory_only,0,none,217,41,0.0,1.0,0.4004516,1.0,87,-0.6679220795631409,True,True,True,False,True,False,1.0,0.0,0.5,0.0,1.0,1.0,False
59f456ede6765a38,static_primitive_effect,1,none,1,248,0.0,1.0,1.0,1.0,93,,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,False
1824a4154b9f5eff,wote_environment_only,2,none,233,111,0.0,1.0,0.88858896,1.0,20,-7.975771427154541,True,False,False,False,True,False,0.0,1.0,1.0,0.0,0.0,1.0,True
90c5c0bf38fc518a,trajectory_only,1,none,3,58,0.0,1.0,0.3930768,1.0,36,-0.6476548910140991,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,True
7d38b08f3b125679,trajectory_only,1,none,3,236,0.0,1.0,0.3699465,1.0,56,-0.5871667861938477,True,False,False,False,True,False,1.0,0.0,1.0,0.0,0.0,1.0,True
7638e77a3f2c5011,wote_full_future,0,none,213,25,0.0,1.0,0.0,1.0,54,0.0,True,True,False,True,True,False,1.0,1.0,0.0,0.0,1.0,1.0,True
cc94652840555acf,ego_kinematic_effect,2,none,87,226,0.0,1.0,0.19161505,1.0,50,-0.237034410238266,True,True,True,False,True,False,1.0,0.0,0.5,0.0,1.0,0.0,True
1824a4154b9f5eff,ego_kinematic_effect,2,none,216,111,0.0,1.0,0.88858896,1.0,20,-7.975771427154541,True,True,True,False,True,False,0.0,1.0,0.5,0.0,0.0,1.0,True
02ebd46f5cd6566d,shared_logged_future,2,none,185,185,0.0,1.0,0.0,1.0,49,0.0,True,True,False,True,True,False,1.0,1.0,0.0,0.0,1.0,1.0,False
e8c5d13639325f15,wote_full_future,1,none,1,151,0.0,1.0,0.0,1.0,31,0.0,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,True
7dbcd1b68a7e5f8e,trajectory_only,1,none,3,49,0.0,1.0,0.35463786,1.0,52,-0.5495176315307617,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,True
29574fbfe8685404,ego_kinematic_effect,2,none,193,21,0.0,1.0,0.46058285,1.0,72,-0.8538528084754944,True,True,True,False,True,False,1.0,0.0,0.5,0.0,1.0,1.0,False
7950b5d3a544508c,ego_kinematic_effect,2,none,216,102,0.0,1.0,0.33015424,1.0,9,-0.49288100004196167,True,True,True,False,True,False,0.0,1.0,0.5,0.0,0.0,1.0,True
f3288ba5cac454ad,shared_logged_future,2,none,3,68,0.0,1.0,0.4259088,1.0,28,-0.7418835163116455,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,True
29574fbfe8685404,trajectory_only,1,none,3,21,0.0,1.0,0.46058285,1.0,72,-0.8538528084754944,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,False
22689723912350b4,trajectory_only,1,none,191,91,0.0,1.0,0.0,1.0,75,0.0,True,True,True,False,True,False,1.0,0.0,0.5,0.0,1.0,1.0,False
22689723912350b4,shared_logged_future,2,none,225,91,0.0,1.0,0.0,1.0,75,0.0,True,True,True,False,True,False,1.0,0.0,0.5,0.0,1.0,1.0,False
4e02ce57eb9b5203,shared_logged_future,2,none,78,242,0.0,1.0,0.8222962,1.0,109,-4.6273417472839355,True,False,False,False,True,False,0.0,1.0,1.0,0.0,0.0,1.0,True
02f38f2c22f35382,dynamic_replay_effect,0,none,4,128,0.0,1.0,0.19763827,1.0,96,-0.2463206648826599,True,False,False,False,True,False,0.0,1.0,1.0,0.0,0.0,1.0,True
eb4d6a0aa63a5582,wote_full_future,1,none,1,70,0.0,1.0,0.40305054,1.0,62,-0.6751837134361267,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,False
71b0919401d05733,trajectory_only,1,none,98,195,0.0,1.0,0.9866861,1.0,75,-74.10952758789062,True,True,True,False,True,False,1.0,0.0,0.5,0.0,1.0,1.0,True
5a287daa1f775a79,trajectory_only,1,none,3,58,0.0,1.0,0.3949676,1.0,70,-0.6528039574623108,True,False,False,False,True,False,0.0,1.0,1.0,0.0,0.0,1.0,True
59f456ede6765a38,wote_full_future,1,none,1,248,0.0,1.0,1.0,1.0,93,,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,False
61979ca6b9ea5e49,wote_full_future,1,none,1,195,0.0,1.0,0.9865215,1.0,80,-73.192138671875,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,True
063354d761015481,ego_kinematic_effect,2,none,228,10,0.0,1.0,0.35054958,1.0,122,-0.5397633910179138,True,True,True,False,True,False,1.0,0.0,0.5,0.0,0.0,1.0,True
7950b5d3a544508c,shared_logged_future,2,none,233,102,0.0,1.0,0.33015424,1.0,9,-0.49288100004196167,True,False,False,False,True,False,0.0,1.0,1.0,0.0,0.0,1.0,True
13f2a228a362553f,trajectory_only,2,none,246,88,0.0,1.0,0.9129957,1.0,66,-10.493683815002441,True,False,False,False,True,False,0.5,0.0,1.0,0.0,0.0,1.0,True
61979ca6b9ea5e49,trajectory_only,2,none,116,195,0.0,1.0,0.9865215,1.0,80,-73.192138671875,True,True,True,False,True,False,1.0,0.0,0.5,0.0,1.0,1.0,True
7950b5d3a544508c,wote_full_future,0,none,3,102,0.0,1.0,0.33015424,1.0,9,-0.49288100004196167,True,False,False,False,True,False,0.0,1.0,1.0,0.0,0.0,1.0,True
cbb446d6ec365eb0,trajectory_only,2,none,236,27,0.0,1.0,0.37616238,1.0,101,-0.6029812693595886,True,False,False,False,True,False,0.0,1.0,1.0,0.0,0.0,1.0,True
f3288ba5cac454ad,wote_full_future,0,none,3,68,0.0,1.0,0.4259088,1.0,28,-0.7418835163116455,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,True
44bd1648e3cc5cd0,dynamic_replay_effect,0,none,154,20,0.0,1.0,0.48423976,1.0,48,-0.9388853907585144,True,True,True,False,True,False,1.0,0.0,0.5,0.0,1.0,1.0,True
26f2cadc49445176,dynamic_replay_effect,0,none,49,198,0.0,1.0,0.9542893,1.0,24,-20.876724243164062,True,True,True,False,True,False,1.0,0.0,0.5,0.0,1.0,1.0,True
7950b5d3a544508c,direct_current,2,none,87,102,0.0,1.0,0.33015424,1.0,9,-0.49288100004196167,True,False,False,False,True,False,0.0,1.0,1.0,0.0,0.0,1.0,True
063354d761015481,interaction_mask_only,2,none,78,10,0.0,1.0,0.35054958,1.0,122,-0.5397633910179138,True,True,True,False,True,False,1.0,0.0,0.5,0.0,0.0,1.0,True
7950b5d3a544508c,direct_current,0,none,3,102,0.0,1.0,0.33015424,1.0,9,-0.49288100004196167,True,False,False,False,True,False,0.0,1.0,1.0,0.0,0.0,1.0,True
22689723912350b4,direct_current,0,none,225,91,0.0,1.0,0.0,1.0,75,0.0,True,True,True,False,True,False,1.0,0.0,0.5,0.0,1.0,1.0,False
164e52db9ee955a5,interaction_mask_only,2,none,165,21,0.0,1.0,0.9566063,1.0,113,-22.04483413696289,True,True,True,False,True,False,0.0,1.0,0.5,0.0,0.0,1.0,True
164e52db9ee955a5,direct_current,2,none,195,21,0.0,1.0,0.9566063,1.0,113,-22.04483413696289,True,False,False,False,True,False,0.0,1.0,1.0,0.0,0.0,1.0,True
02ebd46f5cd6566d,direct_current,2,none,185,185,0.0,1.0,0.0,1.0,49,0.0,True,True,False,True,True,False,1.0,1.0,0.0,0.0,1.0,1.0,False
22689723912350b4,wote_environment_only,1,none,113,91,0.0,1.0,0.0,1.0,75,0.0,True,True,True,False,True,False,1.0,0.0,0.5,0.0,1.0,1.0,False
d884d08d5e7f5ce7,wote_environment_only,1,none,4,170,0.0,1.0,0.0,1.0,40,0.0,True,False,False,False,True,False,0.0,0.0,1.0,0.0,0.0,1.0,True
7950b5d3a544508c,wote_environment_only,1,none,3,102,0.0,1.0,0.33015424,1.0,9,-0.49288100004196167,True,False,False,False,True,False,0.0,1.0,1.0,0.0,0.0,1.0,True
e8c5d13639325f15,full_primitive_no_interaction_mask,0,none,1,151,0.0,1.0,0.0,1.0,31,0.0,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,True
d884d08d5e7f5ce7,full_primitive_no_interaction_mask,0,none,1,170,0.0,1.0,0.0,1.0,40,0.0,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,True
7950b5d3a544508c,full_primitive_no_interaction_mask,0,none,3,102,0.0,1.0,0.33015424,1.0,9,-0.49288100004196167,True,False,False,False,True,False,0.0,1.0,1.0,0.0,0.0,1.0,True
22689723912350b4,full_primitive_no_interaction_mask,0,none,18,91,0.0,1.0,0.0,1.0,75,0.0,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,False
400935b51be75ea3,direct_current,0,none,43,22,0.0,1.0,0.0,1.0,58,0.0,True,True,False,True,True,False,1.0,1.0,0.0,0.0,1.0,1.0,True
1824a4154b9f5eff,interaction_mask_only,2,none,233,111,0.0,1.0,0.88858896,1.0,20,-7.975771427154541,True,False,False,False,True,False,0.0,1.0,1.0,0.0,0.0,1.0,True
09448de5f9315557,static_primitive_effect,2,none,93,125,0.0,1.0,0.3887554,1.0,114,-0.6360063552856445,True,True,False,True,True,False,1.0,1.0,0.0,0.0,1.0,1.0,False
eb4d6a0aa63a5582,static_primitive_effect,0,none,1,70,0.0,1.0,0.40305054,1.0,62,-0.6751837134361267,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,False
789fbb604f4f50dd,wote_environment_only,1,none,1,198,0.0,1.0,0.9750894,1.0,69,-39.14350509643555,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,True
9df2bb21710e57de,trajectory_only,0,none,3,58,0.0,1.0,0.3905789,1.0,36,-0.6409014463424683,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,True
4a6a740ad49f51c2,trajectory_only,0,none,217,41,0.0,1.0,0.40044692,1.0,99,-0.6679090261459351,True,True,True,False,True,False,1.0,0.0,0.5,0.0,1.0,1.0,True
7dbcd1b68a7e5f8e,trajectory_only,0,none,3,49,0.0,1.0,0.35463786,1.0,52,-0.5495176315307617,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,True
b4aedd4aaa5956d7,trajectory_only,0,none,237,69,0.0,1.0,0.8491155,1.0,59,-5.627585411071777,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,False
bf86d65ef6d5553f,full_primitive_no_interaction_mask,1,none,1,70,0.0,1.0,0.4211844,1.0,69,-0.7276659607887268,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,True
1824a4154b9f5eff,direct_current,2,none,233,111,0.0,1.0,0.88858896,1.0,20,-7.975771427154541,True,False,False,False,True,False,0.0,1.0,1.0,0.0,0.0,1.0,True
a64988f11b195863,full_primitive_no_interaction_mask,0,none,1,247,0.0,1.0,0.8728968,1.0,65,-6.867621898651123,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,True
789fbb604f4f50dd,full_primitive_no_interaction_mask,0,none,1,198,0.0,1.0,0.9750894,1.0,69,-39.14350509643555,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,True
527ba01efc975cc8,full_primitive_no_interaction_mask,0,none,3,104,0.0,1.0,0.32523274,1.0,15,-0.4819924831390381,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,True
71b0919401d05733,full_primitive_no_interaction_mask,0,none,1,195,0.0,1.0,0.9866861,1.0,75,-74.10952758789062,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,True
063354d761015481,direct_current,2,none,78,10,0.0,1.0,0.35054958,1.0,122,-0.5397633910179138,True,True,True,False,True,False,1.0,0.0,0.5,0.0,0.0,1.0,True
eb4d6a0aa63a5582,interaction_mask_only,2,none,185,70,0.0,1.0,0.40305054,1.0,62,-0.6751837134361267,True,True,False,True,True,False,1.0,1.0,0.0,0.0,1.0,1.0,False
44bd1648e3cc5cd0,shared_logged_future,0,none,154,20,0.0,1.0,0.48423976,1.0,48,-0.9388853907585144,True,True,True,False,True,False,1.0,0.0,0.5,0.0,1.0,1.0,True
61979ca6b9ea5e49,shared_logged_future,0,none,1,195,0.0,1.0,0.9865215,1.0,80,-73.192138671875,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,True
26f2cadc49445176,static_primitive_effect,0,none,49,198,0.0,1.0,0.9542893,1.0,24,-20.876724243164062,True,True,True,False,True,False,1.0,0.0,0.5,0.0,1.0,1.0,True
f3288ba5cac454ad,static_primitive_effect,0,none,63,68,0.0,1.0,0.4259088,1.0,28,-0.7418835163116455,True,True,True,False,True,False,1.0,0.0,0.5,0.0,1.0,1.0,True
d884d08d5e7f5ce7,full_primitive_action_effect,2,none,4,170,0.0,1.0,0.0,1.0,40,0.0,True,False,False,False,True,False,0.0,0.0,1.0,0.0,0.0,1.0,True
7950b5d3a544508c,full_primitive_action_effect,2,none,87,102,0.0,1.0,0.33015424,1.0,9,-0.49288100004196167,True,False,False,False,True,False,0.0,1.0,1.0,0.0,0.0,1.0,True
09448de5f9315557,direct_current,2,none,93,125,0.0,1.0,0.3887554,1.0,114,-0.6360063552856445,True,True,False,True,True,False,1.0,1.0,0.0,0.0,1.0,1.0,False
5a287daa1f775a79,trajectory_only,0,none,3,58,0.0,1.0,0.3949676,1.0,70,-0.6528039574623108,True,False,False,False,True,False,0.0,1.0,1.0,0.0,0.0,1.0,True
90c5c0bf38fc518a,trajectory_only,0,none,3,58,0.0,1.0,0.3930768,1.0,36,-0.6476548910140991,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,True
6ce52a48a7515ba2,wote_environment_only,1,none,1,221,0.0,1.0,0.40435818,1.0,47,-0.6788612604141235,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,True
eb4d6a0aa63a5582,wote_environment_only,1,none,1,70,0.0,1.0,0.40305054,1.0,62,-0.6751837134361267,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,False
2846cf983f945403,wote_environment_only,1,none,1,78,0.0,1.0,0.39999324,1.0,79,-0.6666479110717773,True,False,False,False,True,False,0.0,1.0,1.0,0.0,0.0,1.0,True
6a647085c3b35e56,trajectory_only,0,none,3,58,0.0,1.0,0.39186794,1.0,34,-0.6443796753883362,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,True
9d3c4117256c5e9a,shared_logged_future,0,none,38,102,0.0,1.0,0.3124383,1.0,8,-0.4544149339199066,True,False,False,False,True,False,0.0,1.0,1.0,0.0,0.0,1.0,True
4d0eb7ba50ff50d0,direct_current,2,none,107,40,0.0,1.0,0.87579453,1.0,97,-7.051175117492676,True,False,False,False,True,False,0.0,1.0,1.0,0.0,0.0,1.0,True
b4aedd4aaa5956d7,full_primitive_action_effect,2,none,208,69,0.0,1.0,0.8491155,1.0,59,-5.627585411071777,True,True,True,False,True,False,1.0,0.0,0.5,0.0,1.0,1.0,False
61979ca6b9ea5e49,full_engineered_action_effect,0,none,1,195,0.0,1.0,0.9865215,1.0,80,-73.192138671875,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,True
400935b51be75ea3,full_primitive_action_effect,2,none,201,22,0.0,1.0,0.0,1.0,58,0.0,True,True,False,True,True,False,1.0,1.0,0.0,0.0,1.0,1.0,True
44bd1648e3cc5cd0,direct_current,0,none,154,20,0.0,1.0,0.48423976,1.0,48,-0.9388853907585144,True,True,True,False,True,False,1.0,0.0,0.5,0.0,1.0,1.0,True
09448de5f9315557,interaction_mask_only,2,none,93,125,0.0,1.0,0.3887554,1.0,114,-0.6360063552856445,True,True,False,True,True,False,1.0,1.0,0.0,0.0,1.0,1.0,False
22689723912350b4,full_primitive_action_effect,2,none,59,91,0.0,1.0,0.0,1.0,75,0.0,True,True,True,False,True,False,1.0,0.0,0.5,0.0,1.0,1.0,False
bf86d65ef6d5553f,full_primitive_no_interaction_mask,0,none,1,70,0.0,1.0,0.4211844,1.0,69,-0.7276659607887268,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,True
61979ca6b9ea5e49,full_primitive_no_interaction_mask,0,none,1,195,0.0,1.0,0.9865215,1.0,80,-73.192138671875,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,True
f3288ba5cac454ad,full_primitive_no_interaction_mask,0,none,3,68,0.0,1.0,0.4259088,1.0,28,-0.7418835163116455,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,True
4d0eb7ba50ff50d0,interaction_mask_only,2,none,107,40,0.0,1.0,0.87579453,1.0,97,-7.051175117492676,True,False,False,False,True,False,0.0,1.0,1.0,0.0,0.0,1.0,True
7950b5d3a544508c,interaction_mask_only,2,none,87,102,0.0,1.0,0.33015424,1.0,9,-0.49288100004196167,True,False,False,False,True,False,0.0,1.0,1.0,0.0,0.0,1.0,True
f3288ba5cac454ad,direct_current,0,none,173,68,0.0,1.0,0.4259088,1.0,28,-0.7418835163116455,True,True,True,False,True,False,1.0,0.0,0.5,0.0,0.0,1.0,True
26f2cadc49445176,direct_current,0,none,49,198,0.0,1.0,0.9542893,1.0,24,-20.876724243164062,True,True,True,False,True,False,1.0,0.0,0.5,0.0,1.0,1.0,True
02ebd46f5cd6566d,interaction_mask_only,2,none,185,185,0.0,1.0,0.0,1.0,49,0.0,True,True,False,True,True,False,1.0,1.0,0.0,0.0,1.0,1.0,False
bf86d65ef6d5553f,full_engineered_action_effect,1,none,1,70,0.0,1.0,0.4211844,1.0,69,-0.7276659607887268,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,True
789fbb604f4f50dd,full_primitive_action_effect,1,none,1,198,0.0,1.0,0.9750894,1.0,69,-39.14350509643555,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,True
d2fcb86294345ce0,trajectory_only,2,none,107,131,0.0,1.0,0.8541068,1.0,134,-5.854328155517578,True,False,False,False,True,False,0.0,1.0,1.0,0.0,0.0,1.0,True
b4aedd4aaa5956d7,trajectory_only,2,none,237,69,0.0,1.0,0.8491155,1.0,59,-5.627585411071777,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,False
c0e0d780654b55df,full_primitive_action_effect,1,none,21,67,0.0,1.0,0.8772445,1.0,140,-7.146272659301758,True,False,False,False,True,False,0.0,1.0,1.0,0.0,0.0,1.0,True
d884d08d5e7f5ce7,full_primitive_action_effect,1,none,4,170,0.0,1.0,0.0,1.0,40,0.0,True,False,False,False,True,False,0.0,0.0,1.0,0.0,0.0,1.0,True
26f2cadc49445176,ego_kinematic_effect,0,none,49,198,0.0,1.0,0.9542893,1.0,24,-20.876724243164062,True,True,True,False,True,False,1.0,0.0,0.5,0.0,1.0,1.0,True
7950b5d3a544508c,full_primitive_action_effect,1,none,3,102,0.0,1.0,0.33015424,1.0,9,-0.49288100004196167,True,False,False,False,True,False,0.0,1.0,1.0,0.0,0.0,1.0,True
bf86d65ef6d5553f,wote_environment_only,1,none,1,70,0.0,1.0,0.4211844,1.0,69,-0.7276659607887268,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,True
44bd1648e3cc5cd0,wote_environment_only,1,none,154,20,0.0,1.0,0.48423976,1.0,48,-0.9388853907585144,True,True,True,False,True,False,1.0,0.0,0.5,0.0,1.0,1.0,True
5a287daa1f775a79,wote_environment_only,0,none,3,58,0.0,1.0,0.3949676,1.0,70,-0.6528039574623108,True,False,False,False,True,False,0.0,1.0,1.0,0.0,0.0,1.0,True
9d49399931145793,wote_environment_only,0,none,103,108,0.0,1.0,0.5912106,1.0,88,-1.4462474584579468,True,True,True,False,True,False,0.0,1.0,0.5,0.0,0.0,1.0,True
71b0919401d05733,trajectory_only,0,none,108,195,0.0,1.0,0.9866861,1.0,75,-74.10952758789062,True,True,True,False,True,False,1.0,0.0,0.5,0.0,1.0,1.0,True
71b0919401d05733,full_primitive_action_effect,1,none,1,195,0.0,1.0,0.9866861,1.0,75,-74.10952758789062,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,True
6a647085c3b35e56,trajectory_only,2,none,75,58,0.0,1.0,0.39186794,1.0,34,-0.6443796753883362,True,True,True,False,True,False,1.0,0.0,0.5,0.0,1.0,1.0,True
7950b5d3a544508c,full_engineered_action_effect,0,none,3,102,0.0,1.0,0.33015424,1.0,9,-0.49288100004196167,True,False,False,False,True,False,0.0,1.0,1.0,0.0,0.0,1.0,True
22689723912350b4,full_engineered_action_effect,0,none,217,91,0.0,1.0,0.0,1.0,75,0.0,True,True,True,False,True,False,1.0,0.0,0.5,0.0,1.0,1.0,False
26f2cadc49445176,shared_logged_future,0,none,49,198,0.0,1.0,0.9542893,1.0,24,-20.876724243164062,True,True,True,False,True,False,1.0,0.0,0.5,0.0,1.0,1.0,True
44bd1648e3cc5cd0,static_primitive_effect,0,none,77,20,0.0,1.0,0.48423976,1.0,48,-0.9388853907585144,True,True,True,False,True,False,1.0,0.0,0.5,0.0,1.0,1.0,True
bf86d65ef6d5553f,static_primitive_effect,0,none,1,70,0.0,1.0,0.4211844,1.0,69,-0.7276659607887268,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,True
9dc03cfe776c534a,trajectory_only,0,none,237,150,0.0,1.0,0.15295106,1.0,52,-0.1805693358182907,True,True,True,False,True,False,0.5,0.0,0.5,0.0,0.0,1.0,True
164e52db9ee955a5,full_primitive_action_effect,2,none,209,21,0.0,1.0,0.9566063,1.0,113,-22.04483413696289,True,True,True,False,True,False,0.0,1.0,0.5,0.0,0.0,1.0,True
6ce52a48a7515ba2,full_primitive_action_effect,2,none,243,221,0.0,1.0,0.40435818,1.0,47,-0.6788612604141235,True,False,False,False,True,False,1.0,0.0,1.0,0.0,1.0,1.0,True
02f38f2c22f35382,direct_current,0,none,4,128,0.0,1.0,0.19763827,1.0,96,-0.2463206648826599,True,False,False,False,True,False,0.0,1.0,1.0,0.0,0.0,1.0,True
